@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE crime NUMERIC 


@DATA 
299999 , 3 , 1420 , 4.92999983
299000 , 3 , 1402 , 4.92999983
559000 , 3 , 2634 , 4.92999983
208900 , 3 , 1171 , 4.92999983
289900 , 3 , 1461 , 4.92999983
829900 , 6 , 3213 , 4.92999983
340000 , 3 , 1716 , 4.92999983
509000 , 4 , 1830 , 4.92999983
335500 , 4 , 1755 , 4.92999983
285500 , 3 , 1261 , 4.92999983
217000 , 3 , 1241 , 4.92999983
72995 , 3 , 1722 , 4.92999983
109550 , 3 , 1536 , 4.92999983
425500 , 3 , 1428 , 4.92999983
435000 , 5 , 2629 , 4.92999983
272826 , 5 , 1589 , 4.92999983
127918 , 2 , 953 , 4.92999983
227000 , 3 , 1288 , 4.92999983
319000 , 3 , 1253 , 4.92999983
229500 , 3 , 1439 , 4.92999983
378000 , 3 , 2150 , 4.92999983
444900 , 4 , 2160 , 4.92999983
364900 , 4 , 1999 , 4.92999983
439000 , 4 , 2354 , 4.92999983
440000 , 3 , 1918 , 4.92999983
365000 , 3 , 1352 , 4.92999983
329500 , 3 , 1517 , 4.92999983
339900 , 3 , 1540 , 4.92999983
59000 , 3 , 1440 , 4.92999983
407000 , 4 , 2280 , 4.92999983
229000 , 3 , 1080 , 4.92999983
305000 , 4 , 1541 , 4.92999983
324900 , 4 , 1515 , 4.92999983
300000 , 3 , 1100 , 4.92999983
349900 , 4 , 1666 , 4.92999983
620000 , 4 , 2005 , 4.92999983
424000 , 3 , 2138 , 4.92999983
299000 , 3 , 1316 , 4.92999983
197000 , 2 , 1084 , 4.92999983
629000 , 5 , 2005 , 4.92999983
429900 , 4 , 1435 , 4.92999983
1165000 , 4 , 2458 , 4.92999983
352000 , 5 , 1684 , 4.92999983
895000 , 4 , 2748 , 4.92999983
394000 , 2 , 1218 , 5.46999979
525000 , 4 , 1780 , 1.45000005
552200 , 3 , 1727 , 1.45000005
785000 , 5 , 3400 , 1.45000005
780000 , 3 , 1580 , 1.29999995
678900 , 3 , 1600 , 1.29999995
650000 , 2 , 1500 , 1.29999995
779000 , 3 , 1588 , 1.29999995
589900 , 3 , 1650 , 1.29999995
439000 , 3 , 1702 , 1.29999995
679000 , 4 , 1809 , 1.29999995
689000 , 2 , 1194 , 1.29999995
599000 , 4 , 1979 , 1.29999995
509000 , 3 , 1937 , 1.29999995
634000 , 3 , 1840 , 1.29999995
1295000 , 3 , 1920 , 1.29999995
1350000 , 3 , 1950 , 1.29999995
880000 , 2 , 2117 , 1.29999995
3500000 , 4 , 3167 , 1.29999995
899900 , 4 , 3200 , 1.29999995
1225000 , 3 , 3266 , 1.29999995
1140000 , 4 , 4636 , 1.29999995
3499000 , 4 , 6892 , 1.29999995
